No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
18	236	12	99.8409	111.546	87.3725	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1885			0
19	250	17	116.792	86.1929	87.7381	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1872			0
20	250	16	122.882	80.1854	86.2541	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1857			0
21	255	2	130.703	75.8492	89.9386	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1886			0
22	244	18	107.777	98.2502	86.2618	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1830			0
23	266	12	102.377	107.67	90.6737	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1829			0
24	252	1	100.811	109.317	86.7051	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1863			0
25	247	18	115.847	90.121	91.5621	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1801			0
26	255	18	98.7876	115.735	87.8722	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1796			0
27	259	2	106.743	101.976	90.5364	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1794			0
28	253	16	100.604	113.143	91.1684	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1787			0
29	255	10	108.658	100.634	90.7118	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1749			0
30	226	21	132.505	74.609	89.8022	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1740			0
31	248	3	135.3	71.0711	87.3016	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1731			0
32	242	38	134.421	72.555	89.1813	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1718			0
33	257	7	105.492	103.03	88.6659	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1710			0
34	263	6	103.189	108.348	91.933	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1696			0
35	253	5	100.15	114.146	90.1086	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1966			0
36	258	2	101.292	108.857	87.5135	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1688			0
37	253	15	101.737	107.311	85.2354	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1678			0
38	224	20	121.325	83.6712	87.2113	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1682			0
39	231	30	130.39	76.1282	89.8715	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1655			0
40	253	5	105.821	104.017	89.9913	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1653			0
41	230	7	124.879	78.9547	87.4875	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1639			0
42	232	3	105.315	106.273	92.594	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1619			0
43	244	14	124.678	80.3355	90.3606	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1614			0
